Country,Action Area,2010,2011,2012,2013,2014,2015,2016
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Publication of “Government Response to the House of Lords European Union Committee’s 8th Report of Session 2014-15: A new EU Alcohol Strategy?”,Wales: Publication of the substance misuse delivery plan: “Working together to reduce harm: delivery plan 2016-2018.”
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Publication of “Government Response to the House of Lords European Union Committee’s 8th Report of Session 2014-15: A new EU Alcohol Strategy?”,Northern Ireland: Alcohol awareness week runs in June.
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,Scotland: Scottish Government is currently undertaking a formal review of the Child Protection system in Scotland which will make recommendations by the end of 2016.
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,"England: Public Health England’s “One You” campaign, launched 2016, aims to motivate people to take steps to improve their health through action on the main risk factors, such as smoking, inactivity, obesity, and alcohol consumption.  It provides a Drinks Tracker app to help drinkers identify risky behaviour and lower their alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,Wales: Publication of the substance misuse delivery plan: “Working together to reduce harm: delivery plan 2016-2018.”
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,Northern Ireland: Alcohol awareness week runs in June.
United Kingdom of Great Britain and Northern Ireland,Pricing policies,NA,NA,NA,NA,NA,Excise Movement and Risk Analysis introduced in 2015.,Publication of the revised Her Majesty's Revenue and Customs (HMRC) Alcohol Strategy in March 2016.
United Kingdom of Great Britain and Northern Ireland,Pricing policies,NA,NA,NA,NA,NA,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,Publication of the revised Her Majesty's Revenue and Customs (HMRC) Alcohol Strategy in March 2016.
United Kingdom of Great Britain and Northern Ireland,Reducing the public health impact of illicit alcohol and informally produced alcohol,NA,NA,NA,NA,NA,Introduction of the Alcohol Wholesaler Registration Scheme. This scheme was introduced by Her Majesty's Revenue and Customs (HMRC) to tackle alcohol fraud.,NA
United Kingdom of Great Britain and Northern Ireland,Monitoring and surveillance,NA,NA,NA,NA,NA,Wales: Publication of major report “Reading between the lines: the annual profile for substance misuse 2014-15.”,England: Public Health England is commissioning research to develop methods to assess the physical and psychological health consequences for children living in families with alcohol problems. It will be published in 2016/17.
